country,total_co2,mean_co2,std_co2,years_count,pc1,pc2,cluster
Afghanistan,236.841,3.15788,3.5381252821843985,75,-0.6494603020202798,-0.5890129208301043,0
Africa,52596.171,375.6869357142857,462.68958356604594,140,0.28858596828229693,0.5793664601598165,2
Africa (GCP),52595.756,302.27445977011496,440.8203553014402,174,0.43269159080525316,1.2870987835337184,2
Albania,304.173,3.34256043956044,2.4070990849235523,91,-0.5588373292198379,-0.2623288558838128,0
Algeria,5263.688,48.73785185185185,56.82355073906127,108,-0.3980245962495962,0.0667746776379541,0
Andorra,16.237,0.4775588235294117,0.05312888341683298,34,-0.8859461961275407,-1.4249420015778145,0
Angola,715.341,9.66677027027027,8.72519355289855,74,-0.6478381407133714,-0.6114617776222161,0
Anguilla,3.482,0.10241176470588235,0.034631495252993486,34,-0.886192059771743,-1.4248737089613428,0
Antarctica,0.157,0.004243243243243243,0.004946409502555057,37,-0.8692348368286847,-1.3636114085752755,0
Antigua and Barbuda,26.263,0.35490540540540544,0.24368715453517417,74,-0.6587856402901703,-0.608407933681736,0
Argentina,9012.657,53.646767857142855,64.38647553305384,168,-0.039834870977360035,1.2867596335053764,2
Armenia,398.826,2.373964285714286,2.791887584796709,168,-0.12170244797876394,1.309541844512145,2
Aruba,74.781,0.7630714285714286,0.7614754702238131,98,-0.5219183606653578,-0.11864658754951976,0
Asia,601626.868,3457.6256781609195,5902.237223433162,174,6.300970914689835,-0.348973573112505,1
Asia (GCP),523895.55,3010.893965517241,5131.658399047068,174,5.471367317139517,-0.11768525675928543,1
Asia (excl. China and India),266225.314,1530.0305402298852,2285.5385559987626,174,2.586471216095841,0.6871156105851056,2
Australia,19663.513,113.00869540229884,140.7459857266926,174,0.09341644297957959,1.3816404581416353,2
Austria,5665.19,32.5585632183908,23.819333853374726,174,-0.04588627123336629,1.4204390164759015,2
Azerbaijan,2596.787,15.457065476190476,17.677870180918617,168,-0.10119666520315655,1.3038371186024926,2
Bahamas,176.129,2.3801216216216217,2.170768602931069,74,-0.6563665774638464,-0.6090828778605923,0
Bahrain,1067.927,11.735461538461538,11.615739740453414,91,-0.5478118892352374,-0.2654046920000397,0
Bangladesh,1922.086,24.642128205128206,30.983471010419088,78,-0.603237155022463,-0.5359260190365297,0
Barbados,62.25,0.7323529411764705,0.5527232086480097,85,-0.5958790255317865,-0.38398285278073724,0
Belarus,5126.276,30.513547619047618,35.04524152495784,168,-0.07748878235876204,1.2972410885521153,2
Belgium,12676.788,72.85510344827587,38.554067446976326,174,0.003627315481664353,1.4067306509615425,2
Belize,21.029,0.2841756756756757,0.20031764898808227,74,-0.6588590619558543,-0.6083874876811057,0
Benin,121.691,1.644472972972973,1.9706885537729861,74,-0.6570142002695626,-0.608903007708488,0
Bermuda,30.45,0.4114864864864865,0.1899263190403016,74,-0.6587677939260543,-0.6084127357660669,0
Bhutan,28.952,0.5361481481481482,0.583644289686191,54,-0.7720778143183604,-1.016755900287369,0
Bolivia,609.296,4.513303703703704,6.560332901630074,135,-0.3055500354048828,0.6349058636102354,2
Bonaire Sint Eustatius and Saba,7.638,0.07793877551020408,0.05956315479215691,98,-0.5228100002642921,-0.11839800400633918,0
Bosnia and Herzegovina,1024.613,8.0047890625,7.986381959164907,128,-0.3415209567808179,0.49096285691468516,2
Botswana,173.465,3.3358653846153845,2.0768048708820617,52,-0.7808213982858598,-1.0583111924691235,0
Brazil,17726.99,105.51779761904763,158.933203550451,168,0.05788780327933908,1.2595012834985106,2
British Virgin Islands,6.087,0.0981774193548387,0.07451053929050735,62,-0.7271931933723612,-0.853295981750934,0
Brunei,414.238,4.552065934065934,3.7085411950798655,91,-0.5572602899806748,-0.26276876979926767,0
Bulgaria,3961.463,27.702538461538463,30.087782254542287,143,-0.2267623725395083,0.7889311855040119,2
Burkina Faso,88.719,1.1989054054054054,1.694325025577781,74,-0.6574781837776419,-0.6087737945407332,0
Burundi,15.416,0.20832432432432432,0.1915206708045573,74,-0.6589203673777633,-0.6083704872168983,0
Cambodia,223.764,3.2429565217391305,5.343814281167643,69,-0.6826865383123741,-0.7117327830280858,0
Cameroon,299.981,4.053797297297297,3.456353355777241,74,-0.6545093259308863,-0.6096005650525237,0
Canada,35155.955,202.0457183908046,210.23176973217844,174,0.21988922403615785,1.3465275881924126,2
Cape Verde,16.189,0.21877027027027027,0.2084582378133681,74,-0.6589046552685159,-0.608374882588841,0
Central African Republic,12.12,0.16378378378378378,0.061567708639600136,74,-0.6590140492742286,-0.6083442047268102,0
Central America (GCP),7798.844,44.820942528735635,58.966769385621134,174,-0.016644882113267635,1.412262242522121,2
Chad,48.924,0.6611351351351351,0.8431005127735498,74,-0.6582774744813696,-0.6085502247093578,0
Chile,3242.321,18.63402873563218,24.983891866150802,174,-0.060103861163744096,1.424358785540459,2
China,272531.538,2329.3293846153847,3416.077533382178,117,3.2273902707119486,-0.7470810678588914,1
Christmas Island,1.333,0.030295454545454546,0.0463312539776059,44,-0.829454659921232,-1.220725509613336,0
Colombia,3736.25,22.239583333333332,29.903857237514313,168,-0.0884818938788282,1.3002907438807236,2
Comoros,6.799,0.10460000000000001,0.1112942047008738,65,-0.7101376151397858,-0.7920611311660067,0
Congo,181.048,2.4465945945945946,2.408367877504398,74,-0.6562065854583116,-0.609127804513881,0
Cook Islands,2.625,0.04772727272727273,0.023260564740647895,55,-0.7669978077165253,-0.9961750924570526,0
Costa Rica,277.661,1.8029935064935065,2.6893099328620043,154,-0.20190884493473765,1.0239481705714426,2
Cote d'Ivoire,383.565,5.183310810810811,3.6589156449136477,74,-0.6535633370021006,-0.6098630692635012,0
Croatia,1165.425,9.1048828125,8.674284681412667,128,-0.3401915847067863,0.49059353514954607,2
Cuba,1787.434,10.639488095238095,11.99042648304748,168,-0.10884270942789719,1.3059646709181627,2
Curacao,531.226,5.420673469387755,4.467058527966536,98,-0.5163497020695703,-0.12019723179203536,0
Cyprus,314.878,4.255108108108108,2.802482483503567,74,-0.6546596639237312,-0.6095572265599405,0
Czechia,12257.922,74.7434268292683,56.39771225835503,164,-0.04518039846814125,1.2003341082880592,2
Democratic Republic of Congo,230.245,2.2138942307692306,1.4669991887428628,104,-0.4862846439354883,0.0034003146292351117,0
Denmark,4166.981,23.948166666666665,22.466534975736522,174,-0.05563608635853,1.4231336146132099,2
Djibouti,20.426,0.276027027027027,0.16033782597258733,74,-0.6588836917433468,-0.6083805626260889,0
Dominica,5.322,0.0729041095890411,0.06143722278869564,73,-0.6647605804470149,-0.6287388664865007,0
Dominican Republic,842.597,5.4714090909090904,8.5797201225081,154,-0.19552240194144888,1.0221672527003511,2
East Timor,11.437,0.3812333333333333,0.24090414223737716,30,-0.9086356586465723,-1.5066032679548127,0
Ecuador,1340.633,10.156310606060606,13.651156166192658,132,-0.3140897654017385,0.5712973796200114,2
Egypt,7290.294,64.5158761061947,82.74064311137853,113,-0.34312889145562514,0.1614439429884104,0
El Salvador,256.537,1.6658246753246753,2.446189837419479,154,-0.20215821598382955,1.024017749230349,2
Equatorial Guinea,155.295,2.0985810810810808,2.859143999721599,74,-0.6562608328192702,-0.6091139569241842,0
Eritrea,18.165,0.5045833333333333,0.2444691479220114,36,-0.874482237603252,-1.384145118711358,0
Estonia,1660.874,9.886154761904763,11.668220495037602,168,-0.10977617059947291,1.3062232792035058,2
Eswatini,44.161,0.6133472222222223,0.43160268504569593,72,-0.6698628307364951,-0.6493129279903297,0
Ethiopia,306.172,3.875594936708861,4.731251776462729,79,-0.6256070174424926,-0.5076773628477391,0
Europe,543796.796,3125.2689425287354,2597.0367029507897,174,4.420943964734241,0.17994009036887992,1
Europe (GCP),543796.791,3125.2689137931034,2597.0366423068863,174,4.42094390625033,0.17994010669318672,1
Europe (excl. EU-27),246156.477,1414.6923965517242,1232.4509994591926,174,1.9774577449808772,0.85839733117252,2
Europe (excl. EU-28),169968.84,976.8324137931035,1135.480201631123,174,1.4686304185633288,0.9991048701623766,2
European Union (27),297640.319,1710.5765459770116,1378.9053311043158,174,2.3587062265861802,0.7527435649935761,2
European Union (28),373827.95,2148.4364942528737,1490.53230460191,174,2.874308323650571,0.6101216511967293,1
Faroe Islands,33.082,0.4470540540540541,0.2449516525901125,74,-0.6587155184688088,-0.608427356062965,0
Fiji,50.939,0.6883648648648648,0.3489286764001564,74,-0.6584853569484078,-0.6084913666105687,0
Finland,3294.7690000000002,20.090054878048782,24.14325018128231,164,-0.11633909192132756,1.2200731365915523,2
France,39364.357,226.23193678160922,148.8479939482489,174,0.21714488479816457,1.3474728598893548,2
French Polynesia,33.162,0.4806086956521739,0.3052452349385415,69,-0.6870580016937637,-0.7105088969183793,0
Gabon,305.882,4.13354054054054,2.522416216017313,74,-0.6548808618073483,-0.609495239220485,0
Gambia,16.725,0.22601351351351354,0.20936050662121447,74,-0.6588987722917116,-0.6083765141349529,0
Georgia,694.838,4.135940476190476,5.0196073679295115,168,-0.11883776323019966,1.3087444361425518,2
Germany,94342.779,542.1998793103448,347.81057494804634,174,0.6439481752327005,1.2290874782774268,2
Ghana,404.576,5.467243243243243,5.248279829896547,74,-0.652614393109503,-0.6101300076592017,0
Greece,4247.083,29.699881118881116,37.83380268841674,143,-0.22125408590902965,0.7873869970263733,2
Greenland,34.839,0.4707972972972973,0.17316869435589125,74,-0.6587307829415705,-0.6084229416563102,0
Grenada,9.239,0.12485135135135136,0.10545071983261814,74,-0.6590231436144871,-0.6083418006166431,0
Guatemala,500.589,3.2505779220779223,5.200596377041291,154,-0.19930231840542173,1.023220995950143,2
Guinea,100.749,1.3614729729729729,1.0468050311457888,74,-0.6576548225476,-0.6087231890396861,0
Guinea-Bissau,11.045,0.14925675675675676,0.09459938034649076,74,-0.6590097428066265,-0.6083454834567408,0
Guyana,112.82300000000001,1.5246351351351353,0.7404527229425218,74,-0.6576733080941405,-0.6087172710089565,0
Haiti,87.121,0.5657207792207792,0.9062709956765788,154,-0.20396870366119485,1.0245222312271234,2
High-income countries,1135263.249,6524.501431034483,5763.867677064048,174,9.486994855577022,-1.227731206855179,1
Honduras,292.962,1.9023506493506492,3.1465700478114087,154,-0.2015982499108831,1.0238610470584193,2
Hong Kong,1721.507,21.5188375,16.427203579863257,80,-0.600874156522146,-0.4925700038437089,0
Hungary,5153.04,29.78635838150289,28.33957829421729,173,-0.05250305438577656,1.4002703694993803,2
Iceland,168.186,1.9556511627906978,1.0869825667463098,86,-0.5889842498097774,-0.3639074111294855,0
India,62870.022,405.6130451612903,705.9224153203423,155,0.5333558131173962,0.8408223711399496,2
Indonesia,16462.347,121.94331111111113,185.3766445657857,135,-0.11242325926096734,0.5810310539899934,2
International aviation,15926.277,215.21995945945946,185.1443546489284,74,-0.4111737450506912,-0.6774620703643264,0
International shipping,29067.605,392.80547297297295,153.28986014586997,74,-0.2918887005491518,-0.7104130447578406,0
Iran,21123.716,185.29575438596493,230.93409854667942,114,-0.16286980815866303,0.13317489346592473,0
Iraq,4957.204,51.105195876288654,53.03569399090248,97,-0.46191293154185065,-0.15737440082218737,0
Ireland,2334.435,20.65871681415929,14.892179371634864,113,-0.41280558639510684,0.1808988221704009,0
Israel,2557.42,27.20659574468085,24.955240272979385,94,-0.5118864550072648,-0.20942663036723405,0
Italy,25705.292,156.73958536585366,178.18414081567323,164,0.0955055012112297,1.1611328893361028,2
Jamaica,475.94,6.4316216216216215,3.153030934521044,74,-0.6528551802761069,-0.6100578626023486,0
Japan,68764.528,440.79825641025644,497.9854310331406,156,0.47950597485919805,0.8782977474436399,2
Jordan,758.351,10.247986486486486,8.85706152065327,74,-0.6473385868566386,-0.6116004646643335,0
Kazakhstan,14457.673,86.05757738095238,100.74770899357989,168,0.010725716029000255,1.2726946787604407,2
Kenya,550.027,7.432797297297298,5.721981886704415,74,-0.6509121762359821,-0.6106026437043951,0
Kiribati,2.215,0.03515873015873015,0.016803615537606443,63,-0.7215873404761955,-0.8328622031634574,0
Kosovo,131.601,4.3867,4.142904546246552,30,-0.904347034789275,-1.5078029435964482,0
Kuwait,3738.978,47.93561538461539,61.14492947008852,78,-0.5714330269419909,-0.5448113181128671,0
Kyrgyzstan,868.752,5.171142857142857,6.3476924623233035,168,-0.11714579657545758,1.3082734259118178,2
Laos,223.552,3.239884057971014,6.610724002656664,69,-0.6821031818370332,-0.7118976370991484,0
Latvia,973.703,5.79585119047619,7.041557649229589,168,-0.11617448632628284,1.30800324081178,2
Lebanon,787.368,8.558347826086957,8.205860448597901,92,-0.5462466204905323,-0.24384368218742342,0
Lesotho,75.034,2.2068823529411765,0.6089532382259012,34,-0.8845953187163414,-1.4253182754748035,0
Liberia,51.534,0.6964054054054054,0.48896734683591225,74,-0.658414556607719,-0.6085113387272152,0
Libya,2432.825,32.87601351351351,22.87570243220824,74,-0.6237828946509126,-0.6181603771902269,0
Liechtenstein,9.883,0.15204615384615383,0.06120647197428112,65,-0.7101262670523307,-0.7920641476899751,0
Lithuania,1597.849,9.511005952380952,11.519211377020016,168,-0.11023573010223496,1.3063505673879996,2
Low-income countries,10504.901,91.3469652173913,85.50756787846329,115,-0.30649742782106937,0.19527720339234234,0
Lower-middle-income countries,112150.769,667.5641011904762,1150.3706184242765,168,1.1014943453827741,0.968457614907547,2
Luxembourg,776.014,9.822962025316455,3.045839606544613,79,-0.6218073673245678,-0.5087249088458737,0
Macao,56.476,0.8068,0.5768660859847978,70,-0.681011139973744,-0.69019812398216,0
Madagascar,109.719,1.3545555555555555,1.1634509121574488,81,-0.6178335142605332,-0.46584877023800175,0
